Latitude,Longitude,Latitude,Longitude
12.9716,77.5946,40.6873,-73.9473
40.6501,-73.9496,40.7081,-73.9571
37.6688,-122.0808,40.7169,-73.9776
,,,
19.8762,75.3433,40.6926,-73.9897
28.5921,77.2064,40.6926,-73.9897
39.0119,-98.4842,40.7081,-73.9571
40.7749,-73.968,40.7152,-73.9475
41.9744,-93.2041,40.7617,-73.88
,,,
,,,
45.3617,-122.6104,40.662,-73.9717
40.3432,-79.7267,40.6873,-73.9473
39.6642,-76.2261,40.6313,-74.0217
19.076,72.8777,40.5957,-74.002
43.2557,-89.2789,40.7081,-73.9571
12.9716,77.5946,40.7045,-73.9512
40.5795,-74.0017,40.6331,-74.0174
40.7614,-73.8298,40.6313,-74.0217
40.7263,-73.9835,40.671,-73.9808
40.6305,-73.9866,40.631,-73.9756
47.6205,-122.3493,40.8674,-73.9284
37.5485,-121.9886,40.6926,-73.9897
38.7223,-9.1393,40.7096,-73.9495
-23.5505,-46.6333,40.6926,-73.9897
34.9526,-81.9325,40.6926,-73.9897
